code,Port Name,latitude,longitude,country_code,zone_code
BDPAY,Payra Port,21.9333,90.2667,BD,ME-IPB
BDMGL,Mongla,22.4942196,89.6016171,BD,ME-IPB
BHAHD,Al Hidd,26.2333,50.65,BH,ME-MID
BHGBQ,Al Muharraq,26.25,50.6,BH,ME-MID
BHKBS,Khalifa Bin Salman Port,26.2,50.6167,BH,ME-MID
BHMIN,Mina Sulman Port,26.2,50.6167,BH,ME-MID
BHSIT,Sitrah,26.1333,50.6167,BH,ME-MID
BHMSP,Mina Sulman Port,26.2,50.61667,BH,ME-MID
BNBWN,Bandar Seri Begawan,4.8833,114.9333,BN,AS-SIN
BNKUB,Kuala Belait,4.5831986,114.2212174,BN,AS-SIN
BNMUA,Muara,5.0333206,115.0732883,BN,AS-SIN
CCCCK,Cocos Islands,-12,96.8333,CC,AS-SIN
CNAPP,Anpu,21.3833,109.8333,CN,AS-SIN
CNAQG,Anqing Pt,30.5167,117.0333,CN,AS-NCN
CNANQ,Anqiu,36.4167,119.1833,CN,AS-NCN
CNANT,Anting,31.3,121.15,CN,AS-NCN
CNAJG,Aojiang Pt,27.5833,120.45,CN,AS-SCN
CNBCO,Bacao,25.4667,105.7833,CN,AS-NCN
CNBDG,Badong,31.0333,110.3833,CN,AS-NCN
CNBCG,Baiceng,25.4333,105.8,CN,AS-NCN
CNBMJ,Baimajing,19.7,109.2167,CN,AS-SIN
CNIMA,Baimao,35.0167,118.6,CN,AS-NCN
CNBYG,Baiyang,30.4333,111.5167,CN,AS-NCN
CNBSD,Baoshan Pt,31.4167,121.4833,CN,AS-NCN
CNBSP,Basuo Pt,19,108.6167,CN,AS-SIN
CNBIH,Beihai Pt,21.4667,109.1167,CN,AS-SIN
CNBIJ,Beijiao,22.9167,113.2,CN,AS-SCN
CNSXB,Beitan,21.3667,110.25,CN,AS-SCN
CNPHB,Bijia,22.6167,114.85,CN,AS-SCN
CNBHX,Binhai,33.7167,119.6167,CN,AS-NCN
CNBYN,Binyang,27.25,120.3333,CN,AS-SCN
CNDBX,Bohe,21.5167,111,CN,AS-SCN
CNBZG,Bozhong,38.45,118.4333,CN,AS-NCN
CNGSA,Cangshan,34.85,118.05,CN,AS-NCN
CNCGW,Cangwu,23.4833,111.3167,CN,AS-SCN
CNCFD,Caofeidian Pt,38.95,118.5333,CN,AS-NCN
CNCJG,Caojing,30.7833,121.4,CN,AS-NCN
CNCDH,Changdianhekou,40.4167,124.8,CN,AS-NCN
CNCSH,Changsha,28.2,112.9833,CN,AS-SCN
CNCGS,Changshu Pt,31.65,120.7167,CN,AS-NCN
CNCZX,Changzhou Pt,31.7833,119.9667,CN,AS-NCN
CNCHU,Chaohu,31.6,117.85,CN,AS-NCN
CNCHY,Chaoyang Pt,23.2667,116.6,CN,AS-SCN
CNCOZ,Chaozhou Pt,23.6667,116.6333,CN,AS-SCN
CNCUN,Chencun,22.95,113.2333,CN,AS-SCN
CNCNG,Chengde,40.9667,117.9333,CN,AS-NCN
CNCLJ,Chenglingji Pt,29.4333,113.15,CN,AS-SCN
CNCHX,Chengxi,31.9167,120.2333,CN,AS-NCN
CNCWN,Chiwan Pt,22.4833,113.8833,CN,AS-SCN
CNCHI,Chizhou Pt,30.65,117.4667,CN,AS-NCN
CNCGM,Chongming,31.6333,121.4,CN,AS-NCN
CNCQI,Chongqing,29.5833,106.55,CN,AS-NCN
CNCHZ,Chuzhou,32.3167,118.2833,CN,AS-NCN
CNCIX,Cixi,30.1667,121.2333,CN,AS-NCN
CNDCB,DA CHAN BAY,22.5333,113.8667,CN,AS-SCN
CNDDD,Dadeng I.,24.5333,118.3167,CN,AS-SCN
CNDFG,Dafeng Pt,33.1833,120.4667,CN,AS-NCN
CNDAL,Dalian,38.9167,121.6,CN,AS-NCN
CNDLD,Dalu Island,39.7333,123.7167,CN,AS-NCN
CNDMY,Damaiyu,25.1833,119.6,CN,AS-SCN
CNDDZ,Dandong,40.1333,124.3667,CN,AS-NCN
CNDHU,Danzhou,25.3667,109.4333,CN,AS-SCN
CNDPG,Dapeng,22.6,114.5,CN,AS-SCN
CNDAS,Dashihuagang,38.9,121.6,CN,AS-NCN
CNDAX,Daxie Pt,29.8833,121.95,CN,AS-NCN
CNDAY,Dayawan,22.6667,114.6667,CN,AS-SCN
CNDEF,Defeng,26.2167,109.1167,CN,AS-NCN
CNDEZ,Dezhou,37.4333,116.2833,CN,AS-NCN
CNDDW,Dongdaiwan,26.2333,119.6167,CN,AS-SCN
CNDFA,Dongfang,19.05,108.9333,CN,AS-SIN
CNDGN,Donggang,39.8833,124.1333,CN,AS-NCN
CNDGG,Dongguan,23.0333,113.75,CN,AS-SCN
CNDNG,Donghai,22.95,115.6333,CN,AS-SCN
CNDJK,Dongjiangkou,33.6667,108.6667,CN,AS-NCN
CNDJT,Dongjiaotou Pt,20.3333,110.4167,CN,AS-SCN
CNDGP,Dongping,21.7167,112.2167,CN,AS-SCN
CNDSH,Dongshi,24.6667,118.4667,CN,AS-SCN
CNDOX,Dongxing,21.4833,107.9833,CN,AS-SIN
CNDYN,Dongying Pt,37.4167,118.6833,CN,AS-NCN
CNDOU,Doumen Pt,22.2,113.2833,CN,AS-SCN
CNEZH,Ezhou,30.4,114.8167,CN,AS-NCN
CNFAN,Fangcheng Pt,21.7667,108.35,CN,AS-SIN
CNFCH,Fengcheng,36.7,121.2333,CN,AS-NCN
CNFKI,Fengkai,23.05,112.45,CN,AS-SCN
CNFUJ,Fujin,47.25,132.0333,CN,AS-RUE
CNFLG,Fuling,29.7,107.3333,CN,AS-NCN
CNFNG,Fuyong,22.65,113.7833,CN,AS-SCN
CNFUY,Fuyuan,48.35,134.3,CN,AS-RUE
CNFZH,Fuzhou,26.0833,119.3,CN,AS-SCN
CNGAO,Gaogang,32.3,119.85,CN,AS-NCN
CNGON,Gaolan,21.9167,113.25,CN,AS-SCN
CNGLN,Gaolan,36.3167,103.9333,CN,AS-NCN
CNGOM,Gaoming Pt,22.8833,112.8333,CN,AS-SCN
CNGGK,Gongkou,23.6333,117.2333,CN,AS-SCN
CNGOG,Gongming,22.7833,113.8667,CN,AS-SCN
CNTSG,Gongyi,22.25,112.8,CN,AS-SCN
CNGHI,Guanghai Pt,21.9667,112.8,CN,AS-SCN
CNGGZ,Guangzhou Harbor,23.1333,113.2333,CN,AS-SCN
CNGUG,Guigang,23.1,109.6,CN,AS-SCN
CNGUI,Guilin,25.2667,110.2833,CN,AS-SCN
CNGIS,Guishan,22.1333,113.8167,CN,AS-SCN
CNGZE,Guzhen,22.6,113.1667,CN,AS-SCN
CNHKO,Haikou,20.0333,110.3333,CN,AS-SIN
CNHXG,Haikou New Pt,20.25,108.8333,CN,AS-SIN
CNHIG,Haikou Pt,20.0333,110.1667,CN,AS-SIN
CNHME,Haimen,28.6667,121.4333,CN,AS-NCN
CNHRN,Harbin,45.7333,126.6,CN,AS-NCN
CNHEB,Hebei,39.8833,115.2667,CN,AS-NCN
CNHEK,Heihe,50.2333,127.4833,CN,AS-RUE
CNHST,Heishantou,50.2,119.3833,CN,AS-NCN
CNENP,Hengban,22.2,112.3167,CN,AS-SCN
CNHNI,Hengli,23.1667,114.6167,CN,AS-SCN
CNHSN,Heshan Pt,22.7667,112.95,CN,AS-SCN
CNHTG,Hetang,22.65,113.1333,CN,AS-SCN
CNBLX,Honghai Pt,23.1667,114.2667,CN,AS-SCN
CNHOU,Houjie,22.9333,113.6333,CN,AS-SCN
CNHZU,Houzhu,24.8833,118.6667,CN,AS-SCN
CNHCN,Huachuan,47.0167,130.7,CN,AS-RUE
CNHIJ,Huaiji,23.05,112.45,CN,AS-SCN
CNHLI,Huailai,40.3667,115.5,CN,AS-NCN
CNAIN,Huaiyin,33.6333,119.0167,CN,AS-NCN
CNHUH,Huanghua Pt,38.35,117.35,CN,AS-NCN
CNHGJ,Huangjiang,25.1,107.3333,CN,AS-SIN
CNHUN,Huangpu New Port,23.0833,113.5,CN,AS-SCN
CNHSI,Huangshi Pt,30.2,115.1,CN,AS-NCN
CNANG,Huangxian,29.55,121.5667,CN,AS-NCN
CNHYN,Huangyan,28.6333,121.25,CN,AS-NCN
CNHID,Huidong Pt,22.9833,114.7,CN,AS-SCN
CNHUI,Huizhou Pt,23.0833,114.3667,CN,AS-SCN
CNHUL,Hulin,45.7833,132.95,CN,AS-RUE
CNHUD,Huludao Pt,40.75,120.85,CN,AS-NCN
CNHMN,Humen Pt,22.8333,113.6667,CN,AS-SCN
CNHZH,Huzhou Pt,30.8667,120.1,CN,AS-NCN
CNFKJ,Jiangkou,23.45,111.5,CN,AS-SCN
CNJMN,Jiangmen Pt,22.5833,113.0667,CN,AS-SCN
CNJIS,Jiangshan Pt,21.6333,108.2667,CN,AS-SIN
CNJGY,Jiangyin,25.4667,119.3,CN,AS-SCN
CNJIA,Jiangyin Pt,31.9,120.2833,CN,AS-NCN
CNJAX,Jiaxing,30.7667,120.75,CN,AS-NCN
CNJAY,Jiayin,48.8667,130.3667,CN,AS-RUE
CNJIZ,Jiazi,22.8667,116.05,CN,AS-SCN
CNHLJ,Jinghai,23.0333,116.3,CN,AS-SCN
CNJOG,Jinghong,22.0167,100.8,CN,AS-SIN
CNJIJ,Jingjiang Pt,32.0333,120.2833,CN,AS-NCN
CNJGU,Jinguzhou,22.5167,113.0167,CN,AS-SCN
CNJZK,Jingzhou Pt,30.3,112.2667,CN,AS-NCN
CNPTJ,Jinjing,25.5,119.7833,CN,AS-SCN
CNJNZ,Jinzhou Pt,41.1167,121.15,CN,AS-NCN
CNJUJ,Jiujiang,22.8333,113,CN,AS-SCN
CNJIU,Jiujiang Pt,29.7167,115.9667,CN,AS-NCN
CNJUZ,Jiuzhen,24.0333,117.7,CN,AS-SCN
CNJRG,Jurong,31.9167,119.1667,CN,AS-NCN
CNKFG,Kaifeng,34.7833,114.3333,CN,AS-NCN
CNLZO,Laizhou Pt,37.1667,119.95,CN,AS-NCN
CNLSN,Lanshan Pt,35.0667,119.3667,CN,AS-NCN
CNLXI,Lanxi,29.2,119.4667,CN,AS-NCN
CNLIH,Lianhuashan Pt,23.0167,115.2667,CN,AS-SCN
CNLYG,Lianyungang,34.7167,119.4333,CN,AS-NCN
CNLIZ,Lianzhou,24.7667,112.35,CN,AS-SCN
CNLLI,Liling,27.6667,113.4833,CN,AS-SCN
CNLNH,Linhai,28.85,121.1167,CN,AS-NCN
CNLUI,Lisui,40.0667,116.75,CN,AS-NCN
CNLUD,Liudu,23.0667,112,CN,AS-SCN
CNLZL,Liusha,20.9,110.0667,CN,AS-SIN
CNLZH,Liuzhou Pt,23.3167,109.4,CN,AS-SIN
CNLGU,Longguan,40.7667,115.5667,CN,AS-NCN
CNLGI,Longhai,26.4667,113.2667,CN,AS-SCN
CNLKU,Longkou Pt,37.65,120.35,CN,AS-NCN
CNLGY,Longyan Pt,37.4333,122.6333,CN,AS-NCN
CNLUN,Lu'an,31.7333,116.4833,CN,AS-NCN
CNLFN,Lufeng,22.95,115.6333,CN,AS-SCN
CNLUH,Lu-hua Shan,30.8167,122.6167,CN,AS-NCN
CNLUB,Luobei,47.5667,130.8167,CN,AS-RUE
CNLSH,Lushun New Pt,38.6833,121.1833,CN,AS-NCN
CNLUS,Lusi,32.05,121.6167,CN,AS-NCN
CNLUZ,Luzhou,28.9,105.4,CN,AS-NCN
CNMAA,Maanshan Pt,31.7167,118.4667,CN,AS-NCN
CNMAC,Macun,19.95,110.0167,CN,AS-SIN
CNSHM,Mafang,23.35,112.6833,CN,AS-SCN
CNMJS,Maji Shan,30.6667,122.4,CN,AS-NCN
CNMWN,Mawan Pt,22.45,113.8833,CN,AS-SCN
CNMAW,Mawei Pt,25.9833,119.45,CN,AS-SCN
CNMSA,Meisha Pt,24.7,117.0667,CN,AS-SCN
CNMIY,Miyun,40.3667,116.8333,CN,AS-NCN
CNMOH,Mohe,53.0167,122.45,CN,AS-NCN
CNNAN,Nanao Pt,23.4333,117.6833,CN,AS-SCN
CNNAH,Nanhai Pt,23.0167,113.15,CN,AS-SCN
CNNJK,Nanjiangkou,23.1167,111.8,CN,AS-SCN
CNNJI,Nanjing,32.05,118.7667,CN,AS-NCN
CNNIN,Nanning,22.8,108.3167,CN,AS-SIN
CNNSA,Nansha Pt,22.75,113.5833,CN,AS-SCN
CNNTG,Nantong Pt,32.0167,120.85,CN,AS-NCN
CNZNZ,Naozhou,20.9167,110.5833,CN,AS-SCN
CNNBO,Ningbo,29.8667,121.55,CN,AS-NCN
CNNBG,Ningbo Pt,29.9167,121.6667,CN,AS-NCN
CNNGB,Ningbo,29.8667,121.55,CN,AS-NCN
CNNUD,Nudao,36.3833,120.8667,CN,AS-NCN
CNPAJ,Panjin,41.1167,122.05,CN,AS-NCN
CNPLI,Penglai Pt,37.8,120.75,CN,AS-NCN
CNPXM,Pingshaxinmatou,22.1,113.1667,CN,AS-SCN
CNPGZ,Pingzhou,23.0333,113.2,CN,AS-SCN
CNPJS,Pizhou,34.3351999,118.01246,CN,AS-NCN
CNPDG,Pudong/Shanghai,31.2333,121.5,CN,AS-NCN
CNPUT,Putian,24.4333,119.0167,CN,AS-SCN
CNPYG,Puyang,35.7,115,CN,AS-NCN
CNQSN,Qianshan/Zhuhai,22.2333,113.5167,CN,AS-SCN
CNQAW,Qianwan,36.05,120.2167,CN,AS-NCN
CNLJQ,Qianyu,26.2,119.5167,CN,AS-SCN
CNQIN,Qingdao,36.05,120.3167,CN,AS-NCN
CNQIG,Qingguji / Shangqiu,34.6833,115.7667,CN,AS-NCN
CNQLN,Qinglan Pt,19.55,110.8167,CN,AS-SCN
CNQGS,Qingshi,41.3667,126.5167,CN,AS-NCN
CNQGY,Qingyuan,23.7,113.0167,CN,AS-SCN
CNSHP,Qinhuangdao Pt,39.9167,119.5833,CN,AS-NCN
CNQSA,Qisha Pt,21.5833,108.4667,CN,AS-SIN
CNQZL,Quanzhou,24.9333,118.6,CN,AS-SCN
CNQZJ,Quanzhou Pt,24.9333,118.6,CN,AS-SCN
CNJDR,Quxi,23.5833,116.4333,CN,AS-SCN
CNROH,Raohe,46.8,134,CN,AS-RUE
CNRPG,Raoping,23.6667,117,CN,AS-SCN
CNRZH,Rizhao,35.3833,119.5333,CN,AS-NCN
CNRCG,Rongcheng,37.15,122.3833,CN,AS-NCN
CNROQ,Rongqi Pt,22.7833,113.2667,CN,AS-SCN
CNSIQ,Saiqi,26.9667,119.6833,CN,AS-SCN
CNSAM,Sanming / Shanming Shi,26.2333,117.6167,CN,AS-SCN
CNSNS,Sansha,26.9333,120.2167,CN,AS-SCN
CNSJQ,Sanshui,23.1667,112.8667,CN,AS-SCN
CNSYA,Sanya Pt,33.7833,120.25,CN,AS-NCN
CNSZA,Sanzao,22.05,113.35,CN,AS-SCN
CNNDS,Shacheng,26.65,119.5167,CN,AS-SCN
CNSAT,Shadi,21.6,112.7833,CN,AS-SCN
CNSGH,Shanghai,31.2333,121.4833,CN,AS-NCN
CNSHA,Shanghai,31.2333,121.4833,CN,AS-NCN
CNSGU,Shangyu,30,120.8667,CN,AS-NCN
CNSXJ,Shanshan,42.8667,90.1667,CN,ME-IPB
CNSTG,Shantou Pt,23.4167,116.7667,CN,AS-SCN
CNSAW,Shanwai,28.05,121.2,CN,AS-NCN
CNSWE,Shanwei Pt,22.7833,115.35,CN,AS-SCN
CNHSC,Shaoguan New Pt,24.8,113.6167,CN,AS-SCN
CNSPA,Shapa,21.5,111.4833,CN,AS-SCN
CNSTI,Shatian,23.9833,113.9,CN,AS-SCN
CNSHT,Shating,23.05,113.4333,CN,AS-SCN
CNSHK,Shekou Pt,22.4833,113.9167,CN,AS-SCN
CNSNH,Shenhu,24.6167,118.6667,CN,AS-SCN
CNSNZ,Shenzhen,22.55,114.1167,CN,AS-SCN
CNSEY,Sheyang,33.7667,120.25,CN,AS-NCN
CNSHD,Shidao Pt,36.8667,122.4333,CN,AS-NCN
CNSIJ,Shijing,24.6167,118.4333,CN,AS-SCN
CNSJU,Shijiu Pt,36.3667,119.55,CN,AS-NCN
CNSLO,Shilou,23.0167,113.5,CN,AS-SCN
CNSPI,Shipai,30.3167,116.65,CN,AS-NCN
CNXSP,Shipu,29.4833,121.85,CN,AS-NCN
CNPNY,Shiqiao,22.95,113.3667,CN,AS-SCN
CNSHH,Shishi,24.7333,118.6333,CN,AS-SCN
CNSTB,Shitoubu Pt,21.5833,109.55,CN,AS-SIN
CNSAN,Shiwan,23,113.0833,CN,AS-SCN
CNSDG,Shuidong Pt,21.5167,111,CN,AS-SCN
CNSIK,Shuikou,22.2333,110.9333,CN,AS-SCN
CNSUD,Shunde Pt,22.8333,113.25,CN,AS-SCN
CNSHL,Shuolong,22.8,106.8,CN,AS-SIN
CNSKS,Sikuaishi,39.2833,122.5667,CN,AS-NCN
CNSYM,Simao,22.8,100.9667,CN,AS-SIN
CNSGJ,Songjiang,31.0167,121.2333,CN,AS-NCN
CNSON,Songxia Pt,25.6833,119.5833,CN,AS-SCN
CNSBN,Suibin,47.3,131.85,CN,AS-RUE
CNSNN,Suining,30.5333,105.5333,CN,AS-NCN
CNSUW,Sunwu,49.4167,127.3167,CN,AS-RUE
CNSZH,Suzhou,31.3167,120.6167,CN,AS-NCN
CNTAC,Taicang Pt,31.45,121.1,CN,AS-NCN
CNTJG,Taijiang,26.0833,119.5,CN,AS-SCN
CNTAP,Taiping,21.0333,110.1667,CN,AS-SIN
CNTPW,Taipingwan,37.2667,119.8333,CN,AS-NCN
CNTZO,Taizhou,32.4833,119.9,CN,AS-NCN
CNTZU,Taizhou Pt,32.5,119.9,CN,AS-NCN
CNTGG,Tanggu,39.0167,117.65,CN,AS-NCN
CNTGS,Tangshan Pt,39.6,118.1833,CN,AS-NCN
CNQNH,Tanmen,19.2333,110.4667,CN,AS-SIN
CNTNJ,Tianjin,39.0333,117.2,CN,AS-NCN
CNTNG,Tianjin Pt,38.9833,117.75,CN,AS-NCN
CNTXG,Tianjin Xingang Pt,38.9833,117.7,CN,AS-NCN
CNTOJ,Tongjiang,47.65,132.5,CN,AS-RUE
CNTOL,Tongling Pt,30.9333,117.8,CN,AS-NCN
CNTXZ,Tongxiang,30.6333,120.5667,CN,AS-NCN
CNWIH,Waihai,22.5833,113.1333,CN,AS-SCN
CNWAS,Wanshan Pt,21.9333,113.7167,CN,AS-SCN
CNWAZ,Wanzai,22.1833,113.5167,CN,AS-SCN
CNWEF,Weifang Pt,36.7167,119.1,CN,AS-NCN
CNWEI,Weihai,37.5167,122.1167,CN,AS-NCN
CNWEG,Weihai Pt,37.5,122.1667,CN,AS-NCN
CNWIT,Weitou,24.5333,118.6,CN,AS-SCN
CNLMG,Wenling Longmen Port,28.4167,121.9833,CN,AS-NCN
CNWSH,Wenshan,23.3667,104.25,CN,AS-SIN
CNWZO,Wenzhou Pt,28.0167,120.65,CN,AS-NCN
CNWHU,Wuchuan,21.45,110.75,CN,AS-SCN
CNNHN,Wuhan,30.5833,114.2833,CN,AS-NCN
CNWHI,Wuhu Pt,31.3167,118.3667,CN,AS-NCN
CNWUK,Wukan,22.85,115.65,CN,AS-SCN
CNWXS,Wuxi,31.5667,120.3,CN,AS-NCN
CNWUZ,Wuzhou Pt,23.4833,111.3333,CN,AS-SCN
CNFQX,Xialong,25.7,119.3833,CN,AS-SCN
CNXAM,Xiamen,24.45,118.1,CN,AS-SCN
CNXMG,Xiamen Pt,24.35,118.2,CN,AS-SCN
CNXIA,Xian,34.2833,108.95,CN,AS-NCN
CNXTA,Xiangtan,27.85,112.9,CN,AS-SCN
CNXZI,Xiangzhi,24.7667,118.7667,CN,AS-SCN
CNXTN,Xiantan,29.3333,104.8833,CN,AS-NCN
CNXCU,Xiaocuo Pt,25.2,119.95,CN,AS-SCN
CNXAO,Xiaolan,22.6667,113.2167,CN,AS-SCN
CNXOT,Xiaotang,23.0833,112.9833,CN,AS-SCN
CNXIJ,Xijiang,21.2833,114.8667,CN,AS-SCN
CNLSX,Xincun,18.5,110.0167,CN,AS-SIN
CNXGA,Xingang,23.0333,113.1,CN,AS-SCN
CNXIN,Xinhui Pt,22.5333,113.0167,CN,AS-SCN
CNXNA,Xinsha,22.9833,113.5333,CN,AS-SCN
CNXIT,Xintang Pt,23.1167,113.6167,CN,AS-SCN
CNING,Xinyang,32.1333,114.05,CN,AS-NCN
CNXYI,Xinying,19.7333,109.2833,CN,AS-SIN
CNXTO,Xitou,21.65,111.7833,CN,AS-SCN
CNXYG,Xiuyu Pt,25.2333,118.95,CN,AS-SCN
CNXUK,Xunke,49.55,128.4667,CN,AS-RUE
CNYJI,Yangjiang Pt,21.8333,111.9667,CN,AS-SCN
CNYKG,Yangkou Pt,32.55,121.4,CN,AS-NCN
CNYPG,Yangpu Pt,19.7,109.2,CN,AS-SIN
CNYNG,Yangzhong,32.2167,119.8167,CN,AS-NCN
CNYZH,Yangzhou Pt,32.3833,119.4333,CN,AS-NCN
CNYAT,Yantai,37.4635299,121.44801,CN,AS-NCN
CNYTG,Yantai Pt,37.55,121.4167,CN,AS-NCN
CNYTN,Yantian Pt,26.85,119.8667,CN,AS-SCN
CNYIK,Yingkou,40.65,122.2167,CN,AS-NCN
CNLJY,Yingzai,21.6167,110.2833,CN,AS-SCN
CNYIZ,Yizheng,32.2667,119.1667,CN,AS-NCN
CNYFU,Yongfu,24.9833,109.9833,CN,AS-SCN
CNYYA,Yueyang,29.3667,113.1,CN,AS-SCN
CNYUH,Yuhuan,28.1333,121.2333,CN,AS-NCN
CNYZU,Yuzhu,23.1,113.4167,CN,AS-SCN
CNZJB,Zhangjiabian,22.55,113.45,CN,AS-SCN
CNZJG,Zhangjiagang,31.8667,120.5333,CN,AS-NCN
CNZGS,Zhangshan,34.1167,118.3167,CN,AS-NCN
CNZGW,Zhangwan,26.7,119.5833,CN,AS-SCN
CNZZU,Zhangzhou Pt,24.5167,117.65,CN,AS-SCN
CNZNG,Zhanjiang Pt,21.0833,110.5,CN,AS-SCN
CNZDO,Zhaodong,46.0667,125.9833,CN,AS-NCN
CNZHG,Zhaogang,32.55,116.6333,CN,AS-NCN
CNZQG,Zhaoqing Pt,23.05,112.45,CN,AS-SCN
CNZPO,Zhapo,21.5667,111.85,CN,AS-SCN
CNZPU,Zhapu Pt,30.5833,121.0833,CN,AS-NCN
CNZEL,Zhelin,23.5833,117.1,CN,AS-SCN
CNZPG,zhengpugang Pt,31.6333,118.3833,CN,AS-NCN
CNZHE,Zhenjiang Pt,32.1833,119.45,CN,AS-NCN
CNZSN,Zhongshan Pt,22.5167,113.3667,CN,AS-SCN
CNZGT,Zhongtang,23.0833,113.65,CN,AS-SCN
CNZHH,Zhuanghe Pt,39.6833,122.9667,CN,AS-NCN
CNZUH,Zhuhai Pt,22.2833,113.5667,CN,AS-SCN
CNZLO,Zhuliao,23.3667,113.3333,CN,AS-SCN
CNTAO,Qingdao Port,36.05,120.3333333,CN,AS-NCN
CNXMN,Port of Xiamen,24.45,118.0333333,CN,AS-SCN
CNTSN,Port of Tianjin,39.1,117.1666667,CN,AS-NCN
CNDLC,Port of Dalian,38.91666667,121.6666667,CN,AS-NCN
CNHUA,Port of Huangpu,23.0566,113.5281,CN,AS-SCN
CNFOC,Port of Fuzhou,26.05,119.3,CN,AS-SCN
CNASW,Aoshanwei,36.35,120.667,CN,AS-NCN
CNBAO,Baoshanmatou,31.2131001,121.5063355,CN,AS-NCN
CNBAY,Bayuquan,40.230636,122.107814,CN,AS-NCN
CNBEI,Beilun,29.933,121.883,CN,AS-NCN
CNBEN,Benxi,41.28333,123.75,CN,AS-NCN
CNCAN,Guangzhou,23.12911,113.264385,CN,AS-SCN
CNCDE,Changde,29.01667,111.66667,CN,AS-SCN
CNCGU,Changshu,31.7666,120.95,CN,AS-NCN
CNCIV,Civet / Guandong,22.267,113.067,CN,AS-SCN
CNCMG,Chongming,31.63333,121.38333,CN,AS-NCN
CNDAG,Dalian Pt,38.926984,121.654095,CN,AS-NCN
CNDCD,Dachendao,28.45,121.8666667,CN,AS-NCN
CNDDG,Dandong,40.000787,124.354451,CN,AS-NCN
CNDFE,Dafeng,32.48333,120,CN,AS-NCN
CNDGY,Dongying,37.45,118.48333,CN,AS-NCN
CNDJA,Dongjiakou,35.6,119.767,CN,AS-NCN
